generation,best_risk,feasible_fraction,target,k,mode
19,548,0.86,50,5,GPR
20,548,0.81,50,5,GPR
21,548,0.87,50,5,GPR
22,548,0.84,50,5,GPR
23,548,0.79,50,5,GPR
24,548,0.84,50,5,GPR
25,548,0.87,50,5,GPR
26,548,0.89,50,5,GPR
27,548,0.91,50,5,GPR
28,548,0.85,50,5,GPR
29,548,0.88,50,5,GPR
30,548,0.87,50,5,GPR
31,548,0.9,50,5,GPR
32,548,0.82,50,5,GPR
33,548,0.83,50,5,GPR
34,548,0.87,50,5,GPR
35,548,0.81,50,5,GPR
36,548,0.91,50,5,GPR
37,548,0.83,50,5,GPR
38,548,0.83,50,5,GPR
39,548,0.85,50,5,GPR
40,548,0.81,50,5,GPR
41,548,0.88,50,5,GPR
42,548,0.83,50,5,GPR
43,548,0.84,50,5,GPR
44,548,0.82,50,5,GPR
45,548,0.88,50,5,GPR
46,548,0.83,50,5,GPR
47,548,0.89,50,5,GPR
48,548,0.83,50,5,GPR
49,548,0.77,50,5,GPR
50,548,0.77,50,5,GPR
0,575,0.02,50,6,GPR
1,575,0.03,50,6,GPR
2,575,0.04,50,6,GPR
3,503,0.03,50,6,GPR
4,503,0.06,50,6,GPR
5,503,0.12,50,6,GPR
6,503,0.25,50,6,GPR
7,503,0.43,50,6,GPR
8,503,0.5,50,6,GPR
9,503,0.65,50,6,GPR
10,503,0.7,50,6,GPR
11,503,0.79,50,6,GPR
12,503,0.76,50,6,GPR
13,503,0.84,50,6,GPR
14,503,0.79,50,6,GPR
15,503,0.83,50,6,GPR
16,503,0.76,50,6,GPR
17,503,0.78,50,6,GPR
18,503,0.8,50,6,GPR
19,503,0.75,50,6,GPR
20,503,0.83,50,6,GPR
21,503,0.85,50,6,GPR
22,503,0.88,50,6,GPR
23,503,0.84,50,6,GPR
24,503,0.82,50,6,GPR
25,503,0.89,50,6,GPR
26,503,0.81,50,6,GPR
27,503,0.79,50,6,GPR
28,503,0.71,50,6,GPR
29,503,0.76,50,6,GPR
30,503,0.83,50,6,GPR
31,503,0.85,50,6,GPR
32,503,0.84,50,6,GPR
33,503,0.82,50,6,GPR
34,503,0.83,50,6,GPR
35,503,0.81,50,6,GPR
36,503,0.84,50,6,GPR
37,503,0.81,50,6,GPR
38,503,0.8,50,6,GPR
39,503,0.84,50,6,GPR
40,503,0.75,50,6,GPR
41,503,0.8,50,6,GPR
42,503,0.83,50,6,GPR
43,503,0.78,50,6,GPR
44,503,0.77,50,6,GPR
45,503,0.85,50,6,GPR
46,503,0.87,50,6,GPR
47,503,0.82,50,6,GPR
48,503,0.82,50,6,GPR
49,503,0.87,50,6,GPR
50,503,0.83,50,6,GPR
0,2600,0.2,75,3,GPR
1,2600,0.38,75,3,GPR
2,2600,0.66,75,3,GPR
3,2600,0.89,75,3,GPR
4,2600,0.89,75,3,GPR
5,2600,0.89,75,3,GPR
6,2600,0.91,75,3,GPR
7,2600,0.86,75,3,GPR
8,2600,0.91,75,3,GPR
9,2600,0.91,75,3,GPR
10,2600,0.88,75,3,GPR
11,2600,0.87,75,3,GPR
12,2600,0.9,75,3,GPR
13,2600,0.84,75,3,GPR
14,2600,0.94,75,3,GPR
15,2600,0.93,75,3,GPR
16,2600,0.91,75,3,GPR
17,2600,0.91,75,3,GPR
18,2600,0.89,75,3,GPR
19,2600,0.85,75,3,GPR
20,2600,0.92,75,3,GPR
21,2600,0.9,75,3,GPR
22,2600,0.9,75,3,GPR
23,2600,0.88,75,3,GPR
24,2600,0.93,75,3,GPR
25,2600,0.87,75,3,GPR
26,2600,0.94,75,3,GPR
27,2600,0.94,75,3,GPR
28,2600,0.94,75,3,GPR
29,2600,0.81,75,3,GPR
30,2600,0.88,75,3,GPR
31,2600,0.93,75,3,GPR
32,2600,0.86,75,3,GPR
33,2600,0.94,75,3,GPR
34,2600,0.9,75,3,GPR
35,2600,0.91,75,3,GPR
36,2600,0.9,75,3,GPR
37,2600,0.97,75,3,GPR
38,2600,0.95,75,3,GPR
39,2600,0.87,75,3,GPR
40,2600,0.91,75,3,GPR
41,2600,0.94,75,3,GPR
42,2600,0.92,75,3,GPR
43,2600,0.93,75,3,GPR
44,2600,0.92,75,3,GPR
45,2600,0.95,75,3,GPR
46,2600,0.93,75,3,GPR
47,2600,0.93,75,3,GPR
48,2600,0.97,75,3,GPR
49,2600,0.94,75,3,GPR
50,2600,0.89,75,3,GPR
0,2600,0.11,75,4,GPR
1,2600,0.16,75,4,GPR
2,2600,0.24,75,4,GPR
3,2600,0.41,75,4,GPR
4,2600,0.63,75,4,GPR
5,2600,0.64,75,4,GPR
6,2600,0.78,75,4,GPR
7,2600,0.84,75,4,GPR
8,2600,0.82,75,4,GPR
9,2600,0.92,75,4,GPR
10,2600,0.87,75,4,GPR
11,2600,0.84,75,4,GPR
12,2600,0.88,75,4,GPR
13,2600,0.92,75,4,GPR
14,2600,0.83,75,4,GPR
15,2600,0.88,75,4,GPR
16,2600,0.83,75,4,GPR
17,2600,0.85,75,4,GPR
18,2600,0.89,75,4,GPR
19,2600,0.84,75,4,GPR
20,2600,0.87,75,4,GPR
21,2600,0.86,75,4,GPR
22,2600,0.96,75,4,GPR
23,2600,0.85,75,4,GPR
24,2600,0.9,75,4,GPR
25,2600,0.89,75,4,GPR
26,2600,0.87,75,4,GPR
27,2600,0.88,75,4,GPR
28,2600,0.82,75,4,GPR
29,2600,0.9,75,4,GPR
30,2600,0.91,75,4,GPR
31,2600,0.85,75,4,GPR
32,2600,0.94,75,4,GPR
33,2600,0.87,75,4,GPR
34,2600,0.89,75,4,GPR
35,2600,0.83,75,4,GPR
36,2600,0.91,75,4,GPR
37,2600,0.86,75,4,GPR
38,2600,0.87,75,4,GPR
39,2600,0.86,75,4,GPR
40,2600,0.84,75,4,GPR
41,2600,0.91,75,4,GPR
42,2600,0.84,75,4,GPR
43,2600,0.92,75,4,GPR
44,2600,0.86,75,4,GPR
45,2600,0.8,75,4,GPR
46,2600,0.86,75,4,GPR
47,2600,0.83,75,4,GPR
48,2600,0.87,75,4,GPR
49,2600,0.84,75,4,GPR
50,2600,0.84,75,4,GPR
0,2600,0.01,75,5,GPR
1,2600,0.04,75,5,GPR
2,2600,0.07,75,5,GPR
3,2600,0.13,75,5,GPR
4,2600,0.23,75,5,GPR
5,2600,0.37,75,5,GPR
6,2600,0.52,75,5,GPR
7,2600,0.61,75,5,GPR
8,2600,0.7,75,5,GPR
9,2600,0.75,75,5,GPR
10,2600,0.76,75,5,GPR
11,2600,0.8,75,5,GPR
12,2600,0.82,75,5,GPR
13,2600,0.82,75,5,GPR
14,2600,0.81,75,5,GPR
15,2600,0.83,75,5,GPR
16,2600,0.85,75,5,GPR
17,2600,0.8,75,5,GPR
18,2600,0.82,75,5,GPR
19,2600,0.82,75,5,GPR
20,2600,0.84,75,5,GPR
21,2600,0.84,75,5,GPR
22,2600,0.85,75,5,GPR
23,2600,0.75,75,5,GPR
24,2600,0.88,75,5,GPR
25,2600,0.87,75,5,GPR
26,2600,0.73,75,5,GPR
27,2600,0.82,75,5,GPR
28,2600,0.78,75,5,GPR
29,2600,0.84,75,5,GPR
30,2600,0.93,75,5,GPR
31,2600,0.8,75,5,GPR
32,2600,0.83,75,5,GPR
33,2600,0.83,75,5,GPR
34,2600,0.79,75,5,GPR
35,2600,0.82,75,5,GPR
36,2600,0.78,75,5,GPR
37,2600,0.76,75,5,GPR
38,2600,0.76,75,5,GPR
39,2600,0.81,75,5,GPR
40,2600,0.83,75,5,GPR
41,2600,0.83,75,5,GPR
42,2600,0.8,75,5,GPR
43,2600,0.81,75,5,GPR
44,2600,0.83,75,5,GPR
45,2600,0.78,75,5,GPR
46,2600,0.88,75,5,GPR
47,2600,0.84,75,5,GPR
48,2600,0.76,75,5,GPR
49,2600,0.86,75,5,GPR
50,2600,0.87,75,5,GPR
0,2600,0.01,75,6,GPR
1,2600,0.03,75,6,GPR
2,2600,0.03,75,6,GPR
3,2600,0.04,75,6,GPR
4,2600,0.04,75,6,GPR
5,2600,0.03,75,6,GPR
6,2600,0.07,75,6,GPR
7,2600,0.12,75,6,GPR
8,2600,0.13,75,6,GPR
9,2600,0.22,75,6,GPR
10,2600,0.32,75,6,GPR
11,2600,0.45,75,6,GPR
12,2600,0.59,75,6,GPR
13,2600,0.57,75,6,GPR
14,2600,0.56,75,6,GPR
15,2600,0.6,75,6,GPR
16,2600,0.75,75,6,GPR
17,2600,0.74,75,6,GPR
18,2600,0.74,75,6,GPR
19,2600,0.78,75,6,GPR
20,2600,0.85,75,6,GPR
21,2600,0.78,75,6,GPR
22,2600,0.83,75,6,GPR
23,2600,0.81,75,6,GPR
24,2600,0.78,75,6,GPR
25,2600,0.8,75,6,GPR
26,2600,0.74,75,6,GPR
27,2600,0.72,75,6,GPR
28,2600,0.76,75,6,GPR
29,2600,0.79,75,6,GPR
30,2600,0.73,75,6,GPR
31,2600,0.73,75,6,GPR
32,2600,0.81,75,6,GPR
33,2600,0.82,75,6,GPR
34,2600,0.78,75,6,GPR
35,2600,0.78,75,6,GPR
36,2600,0.78,75,6,GPR
37,2600,0.73,75,6,GPR
38,2600,0.8,75,6,GPR
39,2600,0.79,75,6,GPR
40,2600,0.77,75,6,GPR
41,2600,0.72,75,6,GPR
42,2600,0.82,75,6,GPR
43,2600,0.84,75,6,GPR
44,2600,0.75,75,6,GPR
45,2600,0.77,75,6,GPR
46,2600,0.8,75,6,GPR
47,2600,0.77,75,6,GPR
48,2600,0.82,75,6,GPR
49,2600,0.8,75,6,GPR
50,2600,0.79,75,6,GPR
0,2600,0.17,90,3,GPR
1,2600,0.41,90,3,GPR
2,2600,0.59,90,3,GPR
3,2600,0.84,90,3,GPR
4,2600,0.91,90,3,GPR
5,2600,0.89,90,3,GPR
6,2600,0.88,90,3,GPR
7,2600,0.87,90,3,GPR
8,2600,0.9,90,3,GPR
9,2600,0.89,90,3,GPR
10,2600,0.88,90,3,GPR
11,2600,0.93,90,3,GPR
12,2600,0.93,90,3,GPR
13,2600,0.93,90,3,GPR
14,2600,0.88,90,3,GPR
15,2600,0.89,90,3,GPR
16,2600,0.93,90,3,GPR
17,2600,0.91,90,3,GPR
18,2600,0.94,90,3,GPR
19,2600,0.92,90,3,GPR
20,2600,0.91,90,3,GPR
21,2600,0.97,90,3,GPR
22,2600,0.92,90,3,GPR
23,2600,0.95,90,3,GPR
24,2600,0.89,90,3,GPR
25,2600,0.92,90,3,GPR
26,2600,0.9,90,3,GPR
27,2600,0.91,90,3,GPR
28,2600,0.92,90,3,GPR
29,2600,0.93,90,3,GPR
30,2600,0.97,90,3,GPR
31,2600,0.91,90,3,GPR
32,2600,0.9,90,3,GPR
33,2600,0.88,90,3,GPR
34,2600,0.93,90,3,GPR
35,2600,0.91,90,3,GPR
36,2600,0.91,90,3,GPR
37,2600,0.84,90,3,GPR
38,2600,0.9,90,3,GPR
39,2600,0.9,90,3,GPR
40,2600,0.97,90,3,GPR
41,2600,0.92,90,3,GPR
42,2600,0.93,90,3,GPR
43,2600,0.9,90,3,GPR
44,2600,0.89,90,3,GPR
45,2600,0.91,90,3,GPR
46,2600,0.91,90,3,GPR
47,2600,0.92,90,3,GPR
48,2600,0.93,90,3,GPR
49,2600,0.86,90,3,GPR
50,2600,0.89,90,3,GPR
0,2600,0.06,90,4,GPR
1,2600,0.18,90,4,GPR
2,2600,0.22,90,4,GPR
3,2600,0.53,90,4,GPR
4,2600,0.67,90,4,GPR
5,2600,0.76,90,4,GPR
6,2600,0.83,90,4,GPR
7,2600,0.84,90,4,GPR
8,2600,0.81,90,4,GPR
9,2600,0.84,90,4,GPR
10,2600,0.83,90,4,GPR
11,2600,0.83,90,4,GPR
12,2600,0.87,90,4,GPR
13,2600,0.86,90,4,GPR
14,2600,0.87,90,4,GPR
15,2600,0.85,90,4,GPR
16,2600,0.77,90,4,GPR
17,2600,0.87,90,4,GPR
18,2600,0.93,90,4,GPR
19,2600,0.89,90,4,GPR
20,2600,0.81,90,4,GPR
21,2600,0.88,90,4,GPR
22,2600,0.78,90,4,GPR
23,2600,0.94,90,4,GPR
24,2600,0.86,90,4,GPR
25,2600,0.81,90,4,GPR
26,2600,0.83,90,4,GPR
27,2600,0.86,90,4,GPR
28,2600,0.9,90,4,GPR
29,2600,0.89,90,4,GPR
30,2600,0.81,90,4,GPR
31,2600,0.84,90,4,GPR
32,2600,0.85,90,4,GPR
33,2600,0.88,90,4,GPR
34,2600,0.94,90,4,GPR
35,2600,0.88,90,4,GPR
36,2600,0.85,90,4,GPR
37,2600,0.88,90,4,GPR
38,2600,0.86,90,4,GPR
39,2600,0.89,90,4,GPR
40,2600,0.88,90,4,GPR
41,2600,0.84,90,4,GPR
42,2600,0.88,90,4,GPR
43,2600,0.81,90,4,GPR
44,2600,0.86,90,4,GPR
45,2600,0.81,90,4,GPR
46,2600,0.82,90,4,GPR
47,2600,0.92,90,4,GPR
48,2600,0.85,90,4,GPR
49,2600,0.84,90,4,GPR
50,2600,0.78,90,4,GPR
0,2600,0.02,90,5,GPR
1,2600,0.03,90,5,GPR
2,2600,0.05,90,5,GPR
3,2600,0.09,90,5,GPR
4,2600,0.15,90,5,GPR
5,2600,0.24,90,5,GPR
6,2600,0.35,90,5,GPR
7,2600,0.52,90,5,GPR
8,2600,0.66,90,5,GPR
9,2600,0.75,90,5,GPR
10,2600,0.85,90,5,GPR
11,2600,0.83,90,5,GPR
12,2600,0.88,90,5,GPR
13,2600,0.92,90,5,GPR
14,2600,0.83,90,5,GPR
15,2600,0.87,90,5,GPR
16,2600,0.86,90,5,GPR
17,2600,0.83,90,5,GPR
18,2600,0.8,90,5,GPR
19,2600,0.85,90,5,GPR
20,2600,0.82,90,5,GPR
21,2600,0.84,90,5,GPR
22,2600,0.83,90,5,GPR
23,2600,0.79,90,5,GPR
24,2600,0.88,90,5,GPR
25,2600,0.85,90,5,GPR
26,2600,0.92,90,5,GPR
27,2600,0.81,90,5,GPR
28,2600,0.78,90,5,GPR
29,2600,0.75,90,5,GPR
30,2600,0.85,90,5,GPR
31,2600,0.83,90,5,GPR
32,2600,0.85,90,5,GPR
33,2600,0.86,90,5,GPR
34,2600,0.87,90,5,GPR
35,2600,0.89,90,5,GPR
36,2600,0.88,90,5,GPR
37,2600,0.88,90,5,GPR
38,2600,0.81,90,5,GPR
39,2600,0.87,90,5,GPR
40,2600,0.91,90,5,GPR
41,2600,0.82,90,5,GPR
42,2600,0.88,90,5,GPR
43,2600,0.87,90,5,GPR
44,2600,0.88,90,5,GPR
45,2600,0.84,90,5,GPR
46,2600,0.87,90,5,GPR
47,2600,0.81,90,5,GPR
48,2600,0.84,90,5,GPR
49,2600,0.86,90,5,GPR
50,2600,0.82,90,5,GPR
0,1e+12,0,90,6,GPR
1,2600,0.02,90,6,GPR
2,2600,0.06,90,6,GPR
3,2600,0.07,90,6,GPR
4,2600,0.1,90,6,GPR
5,2600,0.16,90,6,GPR
6,2600,0.21,90,6,GPR
7,2600,0.3,90,6,GPR
8,2600,0.46,90,6,GPR
9,2600,0.59,90,6,GPR
10,2600,0.63,90,6,GPR
11,2600,0.7,90,6,GPR
12,2600,0.82,90,6,GPR
13,2600,0.8,90,6,GPR
14,2600,0.74,90,6,GPR
15,2600,0.77,90,6,GPR
16,2600,0.74,90,6,GPR
17,2600,0.81,90,6,GPR
18,2600,0.83,90,6,GPR
19,2600,0.82,90,6,GPR
20,2600,0.7,90,6,GPR
21,2600,0.77,90,6,GPR
22,2600,0.89,90,6,GPR
23,2600,0.86,90,6,GPR
24,2600,0.86,90,6,GPR
25,2600,0.82,90,6,GPR
26,2600,0.82,90,6,GPR
27,2600,0.83,90,6,GPR
28,2600,0.84,90,6,GPR
29,2600,0.85,90,6,GPR
30,2600,0.74,90,6,GPR
31,2600,0.7,90,6,GPR
32,2600,0.78,90,6,GPR
33,2600,0.79,90,6,GPR
34,2600,0.81,90,6,GPR
35,2600,0.73,90,6,GPR
36,2600,0.8,90,6,GPR
37,2600,0.77,90,6,GPR
38,2600,0.82,90,6,GPR
39,2600,0.74,90,6,GPR
40,2600,0.77,90,6,GPR
41,2600,0.76,90,6,GPR
42,2600,0.71,90,6,GPR
43,2600,0.77,90,6,GPR
44,2600,0.83,90,6,GPR
45,2600,0.81,90,6,GPR
46,2600,0.83,90,6,GPR
47,2600,0.85,90,6,GPR
48,2600,0.76,90,6,GPR
49,2600,0.74,90,6,GPR
50,2600,0.82,90,6,GPR
0,2600,0.16,95,3,GPR
1,2600,0.31,95,3,GPR
2,2600,0.61,95,3,GPR
3,2600,0.81,95,3,GPR
4,2600,0.88,95,3,GPR
5,2600,0.9,95,3,GPR
6,2600,0.91,95,3,GPR
7,2600,0.89,95,3,GPR
8,2600,0.92,95,3,GPR
9,2600,0.93,95,3,GPR
10,2600,0.95,95,3,GPR
11,2600,0.94,95,3,GPR
12,2600,0.93,95,3,GPR
13,2600,0.92,95,3,GPR
14,2600,0.88,95,3,GPR
15,2600,0.92,95,3,GPR
16,2600,0.88,95,3,GPR
17,2600,0.96,95,3,GPR
18,2600,0.87,95,3,GPR
19,2600,0.93,95,3,GPR
20,2600,0.92,95,3,GPR
21,2600,0.95,95,3,GPR
22,2600,0.9,95,3,GPR
23,2600,0.92,95,3,GPR
24,2600,0.92,95,3,GPR
25,2600,0.92,95,3,GPR
26,2600,0.92,95,3,GPR
27,2600,0.93,95,3,GPR
28,2600,0.87,95,3,GPR
29,2600,0.91,95,3,GPR
30,2600,0.84,95,3,GPR
31,2600,0.94,95,3,GPR
32,2600,0.85,95,3,GPR
33,2600,0.9,95,3,GPR
34,2600,0.85,95,3,GPR
35,2600,0.94,95,3,GPR
36,2600,0.94,95,3,GPR
37,2600,0.92,95,3,GPR
38,2600,0.88,95,3,GPR
39,2600,0.95,95,3,GPR
40,2600,0.91,95,3,GPR
41,2600,0.91,95,3,GPR
42,2600,0.93,95,3,GPR
43,2600,0.85,95,3,GPR
44,2600,0.91,95,3,GPR
45,2600,0.95,95,3,GPR
46,2600,0.91,95,3,GPR
47,2600,0.89,95,3,GPR
48,2600,0.95,95,3,GPR
49,2600,0.95,95,3,GPR
50,2600,0.95,95,3,GPR
0,2600,0.06,95,4,GPR
1,2600,0.12,95,4,GPR
2,2600,0.2,95,4,GPR
3,2600,0.28,95,4,GPR
4,2600,0.46,95,4,GPR
5,2600,0.59,95,4,GPR
6,2600,0.64,95,4,GPR
7,2600,0.71,95,4,GPR
8,2600,0.81,95,4,GPR
9,2600,0.86,95,4,GPR
10,2600,0.8,95,4,GPR
11,2600,0.84,95,4,GPR
12,2600,0.9,95,4,GPR
13,2600,0.87,95,4,GPR
14,2600,0.88,95,4,GPR
15,2600,0.87,95,4,GPR
16,2600,0.81,95,4,GPR
17,2600,0.82,95,4,GPR
18,2600,0.86,95,4,GPR
19,2600,0.88,95,4,GPR
20,2600,0.91,95,4,GPR
21,2600,0.87,95,4,GPR
22,2600,0.88,95,4,GPR
23,2600,0.87,95,4,GPR
24,2600,0.9,95,4,GPR
25,2600,0.88,95,4,GPR
26,2600,0.82,95,4,GPR
27,2600,0.87,95,4,GPR
28,2600,0.91,95,4,GPR
29,2600,0.8,95,4,GPR
30,2600,0.8,95,4,GPR
31,2600,0.87,95,4,GPR
32,2600,0.84,95,4,GPR
33,2600,0.79,95,4,GPR
34,2600,0.9,95,4,GPR
35,2600,0.87,95,4,GPR
36,2600,0.82,95,4,GPR
37,2600,0.85,95,4,GPR
38,2600,0.9,95,4,GPR
39,2600,0.9,95,4,GPR
40,2600,0.9,95,4,GPR
41,2600,0.83,95,4,GPR
42,2600,0.89,95,4,GPR
43,2600,0.87,95,4,GPR
44,2600,0.83,95,4,GPR
45,2600,0.9,95,4,GPR
46,2600,0.84,95,4,GPR
47,2600,0.88,95,4,GPR
48,2600,0.88,95,4,GPR
49,2600,0.88,95,4,GPR
50,2600,0.84,95,4,GPR
0,2600,0.06,95,5,GPR
1,2600,0.12,95,5,GPR
2,2600,0.2,95,5,GPR
3,2600,0.22,95,5,GPR
4,2600,0.4,95,5,GPR
5,2600,0.5,95,5,GPR
6,2600,0.69,95,5,GPR
7,2600,0.77,95,5,GPR
8,2600,0.78,95,5,GPR
9,2600,0.77,95,5,GPR
10,2600,0.78,95,5,GPR
11,2600,0.83,95,5,GPR
12,2600,0.84,95,5,GPR
13,2600,0.73,95,5,GPR
14,2600,0.78,95,5,GPR
15,2600,0.81,95,5,GPR
16,2600,0.81,95,5,GPR
17,2600,0.89,95,5,GPR
18,2600,0.87,95,5,GPR
19,2600,0.83,95,5,GPR
20,2600,0.79,95,5,GPR
21,2600,0.86,95,5,GPR
22,2600,0.88,95,5,GPR
23,2600,0.83,95,5,GPR
24,2600,0.83,95,5,GPR
25,2600,0.85,95,5,GPR
26,2600,0.81,95,5,GPR
27,2600,0.76,95,5,GPR
28,2600,0.83,95,5,GPR
29,2600,0.85,95,5,GPR
30,2600,0.86,95,5,GPR
31,2600,0.86,95,5,GPR
32,2600,0.82,95,5,GPR
33,2600,0.86,95,5,GPR
34,2600,0.8,95,5,GPR
35,2600,0.85,95,5,GPR
36,2600,0.86,95,5,GPR
37,2600,0.83,95,5,GPR
38,2600,0.84,95,5,GPR
39,2600,0.79,95,5,GPR
40,2600,0.86,95,5,GPR
41,2600,0.83,95,5,GPR
42,2600,0.81,95,5,GPR
43,2600,0.89,95,5,GPR
44,2600,0.83,95,5,GPR
45,2600,0.78,95,5,GPR
46,2600,0.79,95,5,GPR
47,2600,0.91,95,5,GPR
48,2600,0.8,95,5,GPR
49,2600,0.81,95,5,GPR
50,2600,0.81,95,5,GPR
0,1e+12,0,95,6,GPR
1,2600,0.01,95,6,GPR
2,2600,0.01,95,6,GPR
3,2600,0.01,95,6,GPR
4,2600,0.01,95,6,GPR
5,2600,0.01,95,6,GPR
6,2600,0.01,95,6,GPR
7,2600,0.04,95,6,GPR
8,2600,0.11,95,6,GPR
9,2600,0.12,95,6,GPR
10,2600,0.18,95,6,GPR
11,2600,0.23,95,6,GPR
12,2600,0.36,95,6,GPR
13,2600,0.49,95,6,GPR
14,2600,0.57,95,6,GPR
15,2600,0.68,95,6,GPR
16,2600,0.68,95,6,GPR
17,2600,0.72,95,6,GPR
18,2600,0.73,95,6,GPR
19,2600,0.7,95,6,GPR
20,2600,0.73,95,6,GPR
21,2600,0.69,95,6,GPR
22,2600,0.83,95,6,GPR
23,2600,0.79,95,6,GPR
24,2600,0.83,95,6,GPR
25,2600,0.8,95,6,GPR
26,2600,0.78,95,6,GPR
27,2600,0.9,95,6,GPR
28,2600,0.83,95,6,GPR
29,2600,0.77,95,6,GPR
30,2600,0.75,95,6,GPR
31,2600,0.82,95,6,GPR
32,2600,0.8,95,6,GPR
33,2600,0.75,95,6,GPR
34,2600,0.78,95,6,GPR
35,2600,0.78,95,6,GPR
36,2600,0.82,95,6,GPR
37,2600,0.79,95,6,GPR
38,2600,0.76,95,6,GPR
39,2600,0.84,95,6,GPR
40,2600,0.85,95,6,GPR
41,2600,0.8,95,6,GPR
42,2600,0.88,95,6,GPR
43,2600,0.8,95,6,GPR
44,2600,0.82,95,6,GPR
45,2600,0.81,95,6,GPR
46,2600,0.86,95,6,GPR
47,2600,0.81,95,6,GPR
48,2600,0.81,95,6,GPR
49,2600,0.85,95,6,GPR
50,2600,0.8,95,6,GPR
0,2600,0.22,99,3,GPR
1,2600,0.46,99,3,GPR
2,2600,0.73,99,3,GPR
3,2600,0.91,99,3,GPR
4,2600,0.84,99,3,GPR
5,2600,0.91,99,3,GPR
6,2600,0.84,99,3,GPR
7,2600,0.89,99,3,GPR
8,2600,0.82,99,3,GPR
9,2600,0.88,99,3,GPR
10,2600,0.88,99,3,GPR
11,2600,0.93,99,3,GPR
12,2600,0.93,99,3,GPR
13,2600,0.89,99,3,GPR
14,2600,0.95,99,3,GPR
15,2600,0.93,99,3,GPR
