generation,best_risk,feasible_fraction,target,k,mode
33,1335,0.88,95,3,static_interval
34,1335,0.87,95,3,static_interval
35,1335,0.94,95,3,static_interval
36,1335,0.94,95,3,static_interval
37,1335,0.93,95,3,static_interval
38,1335,0.91,95,3,static_interval
39,1335,0.97,95,3,static_interval
40,1335,0.93,95,3,static_interval
41,1335,0.91,95,3,static_interval
42,1335,0.93,95,3,static_interval
43,1335,0.82,95,3,static_interval
44,1335,0.9,95,3,static_interval
45,1335,0.94,95,3,static_interval
46,1335,0.88,95,3,static_interval
47,1335,0.92,95,3,static_interval
48,1335,0.93,95,3,static_interval
49,1335,0.97,95,3,static_interval
50,1335,0.94,95,3,static_interval
0,1590,0.24,99,3,static_interval
1,1590,0.52,99,3,static_interval
2,1590,0.85,99,3,static_interval
3,1335,0.93,99,3,static_interval
4,1335,0.91,99,3,static_interval
5,1335,0.98,99,3,static_interval
6,1335,0.9,99,3,static_interval
7,1335,0.95,99,3,static_interval
8,1335,0.92,99,3,static_interval
9,1335,0.9,99,3,static_interval
10,1335,0.88,99,3,static_interval
11,1335,0.95,99,3,static_interval
12,1335,0.94,99,3,static_interval
13,1335,0.9,99,3,static_interval
14,1335,0.96,99,3,static_interval
15,1335,0.95,99,3,static_interval
16,1335,0.86,99,3,static_interval
17,1335,0.91,99,3,static_interval
18,1335,0.91,99,3,static_interval
19,1335,0.92,99,3,static_interval
20,1335,0.87,99,3,static_interval
21,1335,0.79,99,3,static_interval
22,1335,0.91,99,3,static_interval
23,1335,0.82,99,3,static_interval
24,1335,0.98,99,3,static_interval
25,1335,0.92,99,3,static_interval
26,1335,0.93,99,3,static_interval
27,1335,0.93,99,3,static_interval
28,1335,0.96,99,3,static_interval
29,1335,0.94,99,3,static_interval
30,1335,0.9,99,3,static_interval
31,1335,0.94,99,3,static_interval
32,1335,0.93,99,3,static_interval
33,1335,0.87,99,3,static_interval
34,1335,0.88,99,3,static_interval
35,1335,0.85,99,3,static_interval
36,1335,0.89,99,3,static_interval
37,1335,0.93,99,3,static_interval
38,1335,0.94,99,3,static_interval
39,1335,0.88,99,3,static_interval
40,1335,0.97,99,3,static_interval
41,1335,0.97,99,3,static_interval
42,1335,0.92,99,3,static_interval
43,1335,0.97,99,3,static_interval
44,1335,0.94,99,3,static_interval
45,1335,0.91,99,3,static_interval
46,1335,0.94,99,3,static_interval
47,1335,0.86,99,3,static_interval
48,1335,0.89,99,3,static_interval
49,1335,0.88,99,3,static_interval
50,1335,0.88,99,3,static_interval
