outer_fold,model,trial,log_loss,params,refit_estimators
2,meta,3,0.882957288389,"{""learning_rate"": 0.13376982239827995, ""max_depth"": 3, ""n_estimators"": 500, ""num_leaves"": 128}",4
2,meta,4,0.817397640049,"{""learning_rate"": 0.07240708783196582, ""max_depth"": 6, ""n_estimators"": 500, ""num_leaves"": 168}",7
2,meta,5,0.810239881353,"{""learning_rate"": 0.05496989204695271, ""max_depth"": 10, ""n_estimators"": 500, ""num_leaves"": 95}",6
2,meta,6,0.824683543993,"{""learning_rate"": 0.041749522264893306, ""max_depth"": 3, ""n_estimators"": 500, ""num_leaves"": 157}",13
2,meta,7,0.810679151161,"{""learning_rate"": 0.1370822358384194, ""max_depth"": 8, ""n_estimators"": 500, ""num_leaves"": 146}",4
2,meta,8,0.803278925877,"{""learning_rate"": 0.15648697042339432, ""max_depth"": 6, ""n_estimators"": 500, ""num_leaves"": 189}",3
2,meta,9,0.841465633058,"{""learning_rate"": 0.06037514715684602, ""max_depth"": 4, ""n_estimators"": 500, ""num_leaves"": 58}",8
2,meta,10,0.814665461659,"{""learning_rate"": 0.13259796710153238, ""max_depth"": 6, ""n_estimators"": 500, ""num_leaves"": 54}",4
2,meta,11,0.744620655965,"{""learning_rate"": 0.019471347981719664, ""max_depth"": 9, ""n_estimators"": 500, ""num_leaves"": 57}",26
2,meta,12,0.636812807056,"{""learning_rate"": 0.010456818646853657, ""max_depth"": 7, ""n_estimators"": 500, ""num_leaves"": 31}",50
2,meta,13,0.718654566824,"{""learning_rate"": 0.01774968117566774, ""max_depth"": 6, ""n_estimators"": 500, ""num_leaves"": 76}",29
2,meta,14,0.717004835023,"{""learning_rate"": 0.017121780750035773, ""max_depth"": 6, ""n_estimators"": 500, ""num_leaves"": 100}",30
2,meta,15,0.775246005005,"{""learning_rate"": 0.03276024862284913, ""max_depth"": 7, ""n_estimators"": 500, ""num_leaves"": 137}",17
2,meta,16,0.787133489365,"{""learning_rate"": 0.03502916222398991, ""max_depth"": 7, ""n_estimators"": 500, ""num_leaves"": 20}",8
2,meta,17,0.814832947146,"{""learning_rate"": 0.05479158972692176, ""max_depth"": 5, ""n_estimators"": 500, ""num_leaves"": 96}",6
2,meta,18,0.805516659988,"{""learning_rate"": 0.05761111512963572, ""max_depth"": 10, ""n_estimators"": 500, ""num_leaves"": 173}",7
2,meta,19,0.796287724561,"{""learning_rate"": 0.030432511485998848, ""max_depth"": 3, ""n_estimators"": 500, ""num_leaves"": 109}",18
3,t13,0,0.151399768456,"{""is_unbalance"": true, ""learning_rate"": 0.06457189039988279, ""n_estimators"": 500, ""num_leaves"": 102}",57
3,t13,1,0.155344813301,"{""is_unbalance"": true, ""learning_rate"": 0.03765169084092129, ""n_estimators"": 500, ""num_leaves"": 145}",5
3,t13,2,0.154672823321,"{""is_unbalance"": true, ""learning_rate"": 0.058232701659816435, ""n_estimators"": 500, ""num_leaves"": 103}",1
3,t13,3,0.148475690875,"{""is_unbalance"": true, ""learning_rate"": 0.09994388759409444, ""n_estimators"": 500, ""num_leaves"": 115}",28
3,t13,4,0.153268457441,"{""is_unbalance"": true, ""learning_rate"": 0.058466998330252054, ""n_estimators"": 500, ""num_leaves"": 115}",1
3,t13,5,0.153371026196,"{""is_unbalance"": true, ""learning_rate"": 0.031203837521470504, ""n_estimators"": 500, ""num_leaves"": 68}",8
3,t13,6,0.147961896554,"{""is_unbalance"": true, ""learning_rate"": 0.08605177811204014, ""n_estimators"": 500, ""num_leaves"": 67}",33
3,t13,7,0.154107640463,"{""is_unbalance"": true, ""learning_rate"": 0.05271026902058379, ""n_estimators"": 500, ""num_leaves"": 107}",66
3,t13,8,0.155336152396,"{""is_unbalance"": true, ""learning_rate"": 0.026664703463243674, ""n_estimators"": 500, ""num_leaves"": 19}",14
3,t13,9,0.148885608323,"{""is_unbalance"": true, ""learning_rate"": 0.06600628047830756, ""n_estimators"": 500, ""num_leaves"": 94}",52
3,t13,10,0.151514373018,"{""is_unbalance"": true, ""learning_rate"": 0.0824519587320871, ""n_estimators"": 500, ""num_leaves"": 16}",40
3,t13,11,0.143995620255,"{""is_unbalance"": true, ""learning_rate"": 0.09702799380273114, ""n_estimators"": 500, ""num_leaves"": 132}",31
3,t18,0,0.25290237262,"{""is_unbalance"": true, ""learning_rate"": 0.07474472076195626, ""n_estimators"": 500, ""num_leaves"": 95}",4
3,t18,1,0.251453511203,"{""is_unbalance"": true, ""learning_rate"": 0.07208754531208875, ""n_estimators"": 500, ""num_leaves"": 69}",5
3,t18,2,0.248415497881,"{""is_unbalance"": true, ""learning_rate"": 0.05056894995312373, ""n_estimators"": 500, ""num_leaves"": 65}",5
3,t18,3,0.249993626928,"{""is_unbalance"": true, ""learning_rate"": 0.056071643331816065, ""n_estimators"": 500, ""num_leaves"": 25}",7
3,t18,4,0.251874619791,"{""is_unbalance"": true, ""learning_rate"": 0.09768673115748545, ""n_estimators"": 500, ""num_leaves"": 79}",1
3,t18,5,0.251874961433,"{""is_unbalance"": true, ""learning_rate"": 0.09582533068377364, ""n_estimators"": 500, ""num_leaves"": 53}",1
3,t18,6,0.253101611439,"{""is_unbalance"": true, ""learning_rate"": 0.07960810859508485, ""n_estimators"": 500, ""num_leaves"": 54}",1
3,t18,7,0.246725273774,"{""is_unbalance"": true, ""learning_rate"": 0.03721407035095736, ""n_estimators"": 500, ""num_leaves"": 119}",8
3,t18,8,0.24951193138,"{""is_unbalance"": true, ""learning_rate"": 0.04099750665952496, ""n_estimators"": 500, ""num_leaves"": 147}",8
3,t18,9,0.247672758213,"{""is_unbalance"": true, ""learning_rate"": 0.012529370637040401, ""n_estimators"": 500, ""num_leaves"": 83}",20
3,t18,10,0.246487268451,"{""is_unbalance"": true, ""learning_rate"": 0.02698566812695849, ""n_estimators"": 500, ""num_leaves"": 19}",8
3,t18,11,0.248823830213,"{""is_unbalance"": true, ""learning_rate"": 0.013302780836890831, ""n_estimators"": 500, ""num_leaves"": 23}",18
3,t21,0,0.0904625480845,"{""is_unbalance"": true, ""learning_rate"": 0.030592313880121107, ""n_estimators"": 500, ""num_leaves"": 36}",3
3,t21,1,0.137680204053,"{""is_unbalance"": true, ""learning_rate"": 0.08977237038841589, ""n_estimators"": 500, ""num_leaves"": 111}",39
3,t21,2,0.107245723484,"{""is_unbalance"": true, ""learning_rate"": 0.0579685045090728, ""n_estimators"": 500, ""num_leaves"": 132}",3
3,t21,3,0.129115839061,"{""is_unbalance"": true, ""learning_rate"": 0.07518139087594129, ""n_estimators"": 500, ""num_leaves"": 77}",5
3,t21,4,0.133182855578,"{""is_unbalance"": true, ""learning_rate"": 0.07804694771098569, ""n_estimators"": 500, ""num_leaves"": 147}",5
3,t21,5,0.105779544531,"{""is_unbalance"": true, ""learning_rate"": 0.055753039064530156, ""n_estimators"": 500, ""num_leaves"": 145}",3
3,t21,6,0.104672088142,"{""is_unbalance"": true, ""learning_rate"": 0.05448370249197568, ""n_estimators"": 500, ""num_leaves"": 82}",3
3,t21,7,0.0952790184031,"{""is_unbalance"": true, ""learning_rate"": 0.0409656079540088, ""n_estimators"": 500, ""num_leaves"": 146}",1
3,t21,8,0.090086704276,"{""is_unbalance"": true, ""learning_rate"": 0.03304796237490883, ""n_estimators"": 500, ""num_leaves"": 66}",3
3,t21,9,0.144020721072,"{""is_unbalance"": true, ""learning_rate"": 0.08465415612677678, ""n_estimators"": 500, ""num_leaves"": 64}",5
3,t21,10,0.0805665981621,"{""is_unbalance"": true, ""learning_rate"": 0.010508523987183736, ""n_estimators"": 500, ""num_leaves"": 25}",10
3,t21,11,0.0807560496063,"{""is_unbalance"": true, ""learning_rate"": 0.010910633295904398, ""n_estimators"": 500, ""num_leaves"": 18}",10
3,interaction,0,0.109664602684,"{""is_unbalance"": true, ""learning_rate"": 0.0293218200115144, ""n_estimators"": 500, ""num_leaves"": 138}",5
3,interaction,1,0.119071263759,"{""is_unbalance"": true, ""learning_rate"": 0.08355118358471113, ""n_estimators"": 500, ""num_leaves"": 137}",28
3,interaction,2,0.12136671062,"{""is_unbalance"": true, ""learning_rate"": 0.07361913429769852, ""n_estimators"": 500, ""num_leaves"": 26}",48
3,interaction,3,0.111873978736,"{""is_unbalance"": true, ""learning_rate"": 0.018316073356808883, ""n_estimators"": 500, ""num_leaves"": 89}",1
3,interaction,4,0.124377112849,"{""is_unbalance"": true, ""learning_rate"": 0.06142707686675584, ""n_estimators"": 500, ""num_leaves"": 15}",1
3,interaction,5,0.110644911246,"{""is_unbalance"": true, ""learning_rate"": 0.039389271912439794, ""n_estimators"": 500, ""num_leaves"": 51}",3
3,interaction,6,0.119893053545,"{""is_unbalance"": true, ""learning_rate"": 0.05595068596190384, ""n_estimators"": 500, ""num_leaves"": 52}",1
3,interaction,7,0.110124615122,"{""is_unbalance"": true, ""learning_rate"": 0.03733695863543456, ""n_estimators"": 500, ""num_leaves"": 30}",4
3,interaction,8,0.112239207085,"{""is_unbalance"": true, ""learning_rate"": 0.013269702566767277, ""n_estimators"": 500, ""num_leaves"": 66}",1
3,interaction,9,0.119199025457,"{""is_unbalance"": true, ""learning_rate"": 0.07721578294143155, ""n_estimators"": 500, ""num_leaves"": 130}",32
3,interaction,10,0.114329460994,"{""is_unbalance"": true, ""learning_rate"": 0.0478062808049885, ""n_estimators"": 500, ""num_leaves"": 133}",2
3,interaction,11,0.112262279423,"{""is_unbalance"": true, ""learning_rate"": 0.011575272512541018, ""n_estimators"": 500, ""num_leaves"": 148}",2
3,meta,0,0.874621506611,"{""learning_rate"": 0.1356524990654933, ""max_depth"": 4, ""n_estimators"": 500, ""num_leaves"": 79}",2
3,meta,1,0.874261560234,"{""learning_rate"": 0.17396663954389122, ""max_depth"": 4, ""n_estimators"": 500, ""num_leaves"": 161}",1
3,meta,2,0.884197843124,"{""learning_rate"": 0.10891507863169318, ""max_depth"": 3, ""n_estimators"": 500, ""num_leaves"": 194}",4
3,meta,3,0.88065151762,"{""learning_rate"": 0.1867500782676559, ""max_depth"": 4, ""n_estimators"": 500, ""num_leaves"": 87}",1
3,meta,4,0.88343218983,"{""learning_rate"": 0.08146200489960576, ""max_depth"": 3, ""n_estimators"": 500, ""num_leaves"": 51}",4
3,meta,5,0.850602235396,"{""learning_rate"": 0.12785495277037826, ""max_depth"": 8, ""n_estimators"": 500, ""num_leaves"": 200}",2
