sigma_y,repeat,target,group,n_all,n_censored,observed_quantile,coverage_at_gpr_week,method
0.002,7,99,1,63,0,26.1428571429,0.968253968254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,7,99,2,134,3,inf,0.932835820896,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,7,99,3,70,3,inf,0.942857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,8,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,8,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,8,50,3,140,6,13,0.185714285714,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,8,75,1,83,1,13.7142857143,0.578313253012,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,8,75,2,89,2,13.7142857143,0.629213483146,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,8,75,3,95,4,13.8571428571,0.715789473684,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,8,90,1,139,1,16.4285714286,0.863309352518,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,8,90,2,61,2,19.1428571429,0.819672131148,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,8,90,3,67,4,22,0.820895522388,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,8,95,1,76,1,21.2857142857,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,8,95,2,102,2,20.5714285714,0.892156862745,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,8,95,3,89,4,24,0.910112359551,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,8,99,1,63,0,26.1428571429,0.968253968254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,8,99,2,134,3,inf,0.917910447761,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,8,99,3,70,4,inf,0.942857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,9,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,9,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,9,50,3,140,6,13,0.192857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,9,75,1,83,1,13.7142857143,0.578313253012,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,9,75,2,89,2,13.4285714286,0.674157303371,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,9,75,3,95,4,16,0.684210526316,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,9,90,1,139,1,16.2857142857,0.877697841727,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,9,90,2,61,2,16.5714285714,0.852459016393,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,9,90,3,67,4,23.4285714286,0.805970149254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,9,95,1,76,1,20.8571428571,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,9,95,2,102,2,20.5714285714,0.921568627451,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,9,95,3,89,4,26.4285714286,0.887640449438,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,9,99,1,63,0,26.1428571429,0.984126984127,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,9,99,2,134,3,inf,0.925373134328,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,9,99,3,70,4,inf,0.928571428571,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,10,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,10,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,10,50,3,140,6,13,0.2,固定BMI边界；扰动实测Y；未重拟合GPR
