类别,校验项,数值,单位,结论
参数选择,2025-01-20当日参数,短窗集中,历史验证19天,滚动实际总费=1045657.561920元
参数选择,2025-01-21当日参数,短窗集中,历史验证20天,滚动实际总费=1107119.404063元
参数选择,2025-01-22当日参数,短窗集中,历史验证21天,滚动实际总费=1168696.504004元
参数选择,2025-01-23当日参数,短窗集中,历史验证22天,滚动实际总费=1231564.405970元
参数选择,2025-01-24当日参数,短窗集中,历史验证23天,滚动实际总费=1293662.903718元
参数选择,2025-01-25当日参数,短窗集中,历史验证24天,滚动实际总费=1319664.632050元
参数选择,2025-01-26当日参数,短窗集中,历史验证25天,滚动实际总费=1344350.031850元
参数选择,2025-01-27当日参数,短窗集中,历史验证26天,滚动实际总费=1405506.461720元
参数选择,2025-01-28当日参数,短窗集中,历史验证27天,滚动实际总费=1466223.286665元
参数选择,2025-01-29当日参数,短窗集中,历史验证28天,滚动实际总费=1526815.557354元
参数选择,2025-01-30当日参数,短窗集中,历史验证28天,滚动实际总费=1491280.788058元
参数选择,2025-01-31当日参数,短窗集中,历史验证28天,滚动实际总费=1485322.867402元
参数选择,2025-02-01当日参数,短窗集中,历史验证28天,滚动实际总费=1461438.592663元
参数选择,2025-02-02当日参数,短窗集中,历史验证28天,滚动实际总费=1455761.519746元
参数选择,2025-02-03当日参数,短窗集中,历史验证28天,滚动实际总费=1450724.292653元
参数选择,2025-02-04当日参数,短窗集中,历史验证28天,滚动实际总费=1442173.716369元
参数选择,2025-02-05当日参数,短窗集中,历史验证28天,滚动实际总费=1435772.716202元
参数选择,2025-02-06当日参数,短窗集中,历史验证28天,滚动实际总费=1429069.672373元
参数选择,2025-02-07当日参数,短窗集中,历史验证28天,滚动实际总费=1420223.685499元
参数选择,2025-02-08当日参数,短窗集中,历史验证28天,滚动实际总费=1414837.907573元
参数选择,2025-02-09当日参数,短窗集中,历史验证28天,滚动实际总费=1409766.575126元
参数选择,2025-02-10当日参数,短窗集中,历史验证28天,滚动实际总费=1401903.518895元
参数选择,2025-02-11当日参数,短窗集中,历史验证28天,滚动实际总费=1393889.539244元
参数选择,2025-02-12当日参数,短窗集中,历史验证28天,滚动实际总费=1385646.925769元
参数选择,2025-02-13当日参数,短窗集中,历史验证28天,滚动实际总费=1375401.172623元
参数选择,2025-02-14当日参数,短窗集中,历史验证28天,滚动实际总费=1360675.628574元
参数选择,2025-02-15当日参数,短窗集中,历史验证28天,滚动实际总费=1354749.697241元
参数选择,2025-02-16当日参数,短窗集中,历史验证28天,滚动实际总费=1347835.461994元
参数选择,2025-02-17当日参数,短窗集中,历史验证28天,滚动实际总费=1338482.937335元
参数选择,2025-02-18当日参数,短窗集中,历史验证28天,滚动实际总费=1327990.205942元
参数选择,2025-02-19当日参数,短窗集中,历史验证28天,滚动实际总费=1317713.529862元
参数选择,2025-02-20当日参数,短窗集中,历史验证28天,滚动实际总费=1306815.361443元
参数选择,2025-02-21当日参数,短窗集中,历史验证28天,滚动实际总费=1294145.157839元
参数选择,2025-02-22当日参数,短窗集中,历史验证28天,滚动实际总费=1287109.975465元
参数选择,2025-02-23当日参数,短窗集中,历史验证28天,滚动实际总费=1281062.249823元
参数选择,2025-02-24当日参数,短窗集中,历史验证28天,滚动实际总费=1268648.168333元
参数选择,2025-02-25当日参数,短窗集中,历史验证28天,滚动实际总费=1256207.203526元
参数选择,2025-02-26当日参数,短窗集中,历史验证28天,滚动实际总费=1243327.581186元
参数选择,2025-02-27当日参数,短窗集中,历史验证28天,滚动实际总费=1232712.428723元
参数选择,2025-02-28当日参数,短窗集中,历史验证28天,滚动实际总费=1222584.210609元
参数选择,2025-03-01当日参数,短窗集中,历史验证28天,滚动实际总费=1215944.877436元
参数选择,2025-03-02当日参数,短窗集中,历史验证28天,滚动实际总费=1210980.363942元
参数选择,2025-03-03当日参数,短窗集中,历史验证28天,滚动实际总费=1205860.123820元
参数选择,2025-03-04当日参数,短窗集中,历史验证28天,滚动实际总费=1201136.753488元
参数选择,2025-03-05当日参数,短窗集中,历史验证28天,滚动实际总费=1192143.288608元
参数选择,2025-03-06当日参数,短窗集中,历史验证28天,滚动实际总费=1184418.428372元
参数选择,2025-03-07当日参数,短窗集中,历史验证28天,滚动实际总费=1177627.889727元
参数选择,2025-03-08当日参数,短窗集中,历史验证28天,滚动实际总费=1173013.760073元
参数选择,2025-03-09当日参数,短窗集中,历史验证28天,滚动实际总费=1168193.992917元
参数选择,2025-03-10当日参数,短窗集中,历史验证28天,滚动实际总费=1159390.863328元
参数选择,2025-03-11当日参数,短窗集中,历史验证28天,滚动实际总费=1151704.850706元
参数选择,2025-03-12当日参数,短窗集中,历史验证28天,滚动实际总费=1142248.635576元
参数选择,2025-03-13当日参数,短窗集中,历史验证28天,滚动实际总费=1134521.742421元
参数选择,2025-03-14当日参数,短窗集中,历史验证28天,滚动实际总费=1130457.120908元
参数选择,2025-03-15当日参数,短窗集中,历史验证28天,滚动实际总费=1126996.768962元
参数选择,2025-03-16当日参数,短窗集中,历史验证28天,滚动实际总费=1125154.563955元
参数选择,2025-03-17当日参数,短窗集中,历史验证28天,滚动实际总费=1116802.554048元
参数选择,2025-03-18当日参数,短窗集中,历史验证28天,滚动实际总费=1109116.793294元
参数选择,2025-03-19当日参数,短窗集中,历史验证28天,滚动实际总费=1103845.971719元
参数选择,2025-03-20当日参数,短窗集中,历史验证28天,滚动实际总费=1093768.662555元
参数选择,2025-03-21当日参数,短窗集中,历史验证28天,滚动实际总费=1088025.879310元
参数选择,2025-03-22当日参数,短窗集中,历史验证28天,滚动实际总费=1084972.680519元
参数选择,2025-03-23当日参数,短窗集中,历史验证28天,滚动实际总费=1081939.717425元
参数选择,2025-03-24当日参数,短窗集中,历史验证28天,滚动实际总费=1074072.105900元
参数选择,2025-03-25当日参数,短窗集中,历史验证28天,滚动实际总费=1067303.405384元
参数选择,2025-03-26当日参数,短窗集中,历史验证28天,滚动实际总费=1062184.611455元
参数选择,2025-03-27当日参数,短窗集中,历史验证28天,滚动实际总费=1053193.218837元
参数选择,2025-03-28当日参数,短窗集中,历史验证28天,滚动实际总费=1042769.514016元
参数选择,2025-03-29当日参数,短窗集中,历史验证28天,滚动实际总费=1039876.913348元
参数选择,2025-03-30当日参数,短窗集中,历史验证28天,滚动实际总费=1037367.773725元
参数选择,2025-03-31当日参数,短窗集中,历史验证28天,滚动实际总费=1024234.585805元
参数选择,2025-04-01当日参数,短窗集中,历史验证28天,滚动实际总费=1013012.178198元
参数选择,2025-04-02当日参数,短窗集中,历史验证28天,滚动实际总费=1003542.522595元
参数选择,2025-04-03当日参数,短窗集中,历史验证28天,滚动实际总费=1003661.145596元
参数选择,2025-04-04当日参数,短窗集中,历史验证28天,滚动实际总费=996414.789421元
参数选择,2025-04-05当日参数,短窗集中,历史验证28天,滚动实际总费=993650.164897元
参数选择,2025-04-06当日参数,短窗集中,历史验证28天,滚动实际总费=992628.837621元
参数选择,2025-04-07当日参数,短窗集中,历史验证28天,滚动实际总费=986644.712362元
参数选择,2025-04-08当日参数,短窗集中,历史验证28天,滚动实际总费=979005.093785元
参数选择,2025-04-09当日参数,短窗集中,历史验证28天,滚动实际总费=973807.826440元
参数选择,2025-04-10当日参数,短窗集中,历史验证28天,滚动实际总费=969907.445272元
参数选择,2025-04-11当日参数,短窗集中,历史验证28天,滚动实际总费=962008.993857元
参数选择,2025-04-12当日参数,短窗集中,历史验证28天,滚动实际总费=959944.450577元
参数选择,2025-04-13当日参数,短窗集中,历史验证28天,滚动实际总费=956177.033758元
参数选择,2025-04-14当日参数,短窗集中,历史验证28天,滚动实际总费=949616.013723元
参数选择,2025-04-15当日参数,短窗集中,历史验证28天,滚动实际总费=943644.927603元
参数选择,2025-04-16当日参数,短窗集中,历史验证28天,滚动实际总费=935325.056278元
参数选择,2025-04-17当日参数,短窗集中,历史验证28天,滚动实际总费=930578.224975元
参数选择,2025-04-18当日参数,短窗集中,历史验证28天,滚动实际总费=924422.412975元
参数选择,2025-04-19当日参数,短窗集中,历史验证28天,滚动实际总费=922474.558198元
参数选择,2025-04-20当日参数,短窗集中,历史验证28天,滚动实际总费=920303.590714元
参数选择,2025-04-21当日参数,短窗集中,历史验证28天,滚动实际总费=915945.845976元
参数选择,2025-04-22当日参数,短窗集中,历史验证28天,滚动实际总费=910243.299886元
参数选择,2025-04-23当日参数,短窗集中,历史验证28天,滚动实际总费=902773.262403元
参数选择,2025-04-24当日参数,短窗集中,历史验证28天,滚动实际总费=897592.909103元
参数选择,2025-04-25当日参数,短窗集中,历史验证28天,滚动实际总费=892127.560478元
参数选择,2025-04-26当日参数,短窗集中,历史验证28天,滚动实际总费=889949.233561元
参数选择,2025-04-27当日参数,短窗集中,历史验证28天,滚动实际总费=887567.880622元
参数选择,2025-04-28当日参数,短窗集中,历史验证28天,滚动实际总费=882732.315867元
参数选择,2025-04-29当日参数,短窗集中,历史验证28天,滚动实际总费=884156.932772元
参数选择,2025-04-30当日参数,短窗集中,历史验证28天,滚动实际总费=881624.358966元
参数选择,2025-05-01当日参数,短窗集中,历史验证28天,滚动实际总费=869260.073515元
参数选择,2025-05-02当日参数,短窗集中,历史验证28天,滚动实际总费=876536.617515元
参数选择,2025-05-03当日参数,短窗集中,历史验证28天,滚动实际总费=887508.089429元
参数选择,2025-05-04当日参数,短窗集中,历史验证28天,滚动实际总费=889664.333351元
参数选择,2025-05-05当日参数,短窗集中,历史验证28天,滚动实际总费=886402.354725元
参数选择,2025-05-06当日参数,短窗集中,历史验证28天,滚动实际总费=890056.875149元
参数选择,2025-05-07当日参数,短窗集中,历史验证28天,滚动实际总费=887460.302158元
参数选择,2025-05-08当日参数,短窗集中,历史验证28天,滚动实际总费=886780.441008元
参数选择,2025-05-09当日参数,短窗集中,历史验证28天,滚动实际总费=886684.794091元
参数选择,2025-05-10当日参数,短窗集中,历史验证28天,滚动实际总费=888045.392325元
参数选择,2025-05-11当日参数,短窗集中,历史验证28天,滚动实际总费=889597.931529元
参数选择,2025-05-12当日参数,短窗集中,历史验证28天,滚动实际总费=890017.851187元
参数选择,2025-05-13当日参数,短窗集中,历史验证28天,滚动实际总费=889710.469770元
参数选择,2025-05-14当日参数,短窗集中,历史验证28天,滚动实际总费=889314.787790元
参数选择,2025-05-15当日参数,短窗集中,历史验证28天,滚动实际总费=889861.400086元
参数选择,2025-05-16当日参数,短窗集中,历史验证28天,滚动实际总费=890034.188754元
参数选择,2025-05-17当日参数,短窗集中,历史验证28天,滚动实际总费=890995.908628元
参数选择,2025-05-18当日参数,短窗集中,历史验证28天,滚动实际总费=893170.288340元
参数选择,2025-05-19当日参数,短窗集中,历史验证28天,滚动实际总费=892477.725965元
参数选择,2025-05-20当日参数,短窗集中,历史验证28天,滚动实际总费=892706.837001元
参数选择,2025-05-21当日参数,短窗集中,历史验证28天,滚动实际总费=896969.680374元
参数选择,2025-05-22当日参数,短窗集中,历史验证28天,滚动实际总费=900571.534982元
参数选择,2025-05-23当日参数,短窗集中,历史验证28天,滚动实际总费=903037.358812元
参数选择,2025-05-24当日参数,短窗集中,历史验证28天,滚动实际总费=904623.970195元
参数选择,2025-05-25当日参数,短窗集中,历史验证28天,滚动实际总费=906085.680458元
参数选择,2025-05-26当日参数,短窗集中,历史验证28天,滚动实际总费=906724.485303元
参数选择,2025-05-27当日参数,短窗集中,历史验证28天,滚动实际总费=905727.557510元
参数选择,2025-05-28当日参数,短窗集中,历史验证28天,滚动实际总费=905134.889775元
参数选择,2025-05-29当日参数,短窗集中,历史验证28天,滚动实际总费=905660.803927元
参数选择,2025-05-30当日参数,短窗集中,历史验证28天,滚动实际总费=896432.405222元
参数选择,2025-05-31当日参数,短窗集中,历史验证28天,滚动实际总费=886824.735627元
参数选择,2025-06-01当日参数,短窗集中,历史验证28天,滚动实际总费=883375.255631元
参数选择,2025-06-02当日参数,短窗集中,历史验证28天,滚动实际总费=919905.042092元
参数选择,2025-06-03当日参数,短窗集中,历史验证28天,滚动实际总费=930522.923378元
参数选择,2025-06-04当日参数,短窗集中,历史验证28天,滚动实际总费=946063.750227元
参数选择,2025-06-05当日参数,短窗集中,历史验证28天,滚动实际总费=953892.426063元
参数选择,2025-06-06当日参数,短窗集中,历史验证28天,滚动实际总费=964632.531415元
参数选择,2025-06-07当日参数,短窗集中,历史验证28天,滚动实际总费=993597.432084元
参数选择,2025-06-08当日参数,短窗集中,历史验证28天,滚动实际总费=1001974.071062元
参数选择,2025-06-09当日参数,短窗集中,历史验证28天,滚动实际总费=1011425.030587元
参数选择,2025-06-10当日参数,短窗集中,历史验证28天,滚动实际总费=1024908.780288元
参数选择,2025-06-11当日参数,短窗集中,历史验证28天,滚动实际总费=1036532.202584元
参数选择,2025-06-12当日参数,短窗集中,历史验证28天,滚动实际总费=1063639.183808元
参数选择,2025-06-13当日参数,短窗集中,历史验证28天,滚动实际总费=1079143.861809元
参数选择,2025-06-14当日参数,短窗集中,历史验证28天,滚动实际总费=1086502.356481元
参数选择,2025-06-15当日参数,短窗集中,历史验证28天,滚动实际总费=1092280.582738元
参数选择,2025-06-16当日参数,短窗集中,历史验证28天,滚动实际总费=1109680.057736元
参数选择,2025-06-17当日参数,短窗集中,历史验证28天,滚动实际总费=1127281.085212元
参数选择,2025-06-18当日参数,短窗集中,历史验证28天,滚动实际总费=1140649.603086元
参数选择,2025-06-19当日参数,短窗集中,历史验证28天,滚动实际总费=1154049.847580元
参数选择,2025-06-20当日参数,短窗集中,历史验证28天,滚动实际总费=1168078.230513元
参数选择,2025-06-21当日参数,短窗集中,历史验证28天,滚动实际总费=1173255.067088元
参数选择,2025-06-22当日参数,短窗集中,历史验证28天,滚动实际总费=1178773.405130元
参数选择,2025-06-23当日参数,短窗集中,历史验证28天,滚动实际总费=1193433.522908元
参数选择,2025-06-24当日参数,短窗集中,历史验证28天,滚动实际总费=1201395.078928元
参数选择,2025-06-25当日参数,短窗集中,历史验证28天,滚动实际总费=1231021.925536元
参数选择,2025-06-26当日参数,短窗集中,历史验证28天,滚动实际总费=1247426.730384元
参数选择,2025-06-27当日参数,短窗集中,历史验证28天,滚动实际总费=1262058.404233元
参数选择,2025-06-28当日参数,短窗集中,历史验证28天,滚动实际总费=1265149.907794元
参数选择,2025-06-29当日参数,短窗集中,历史验证28天,滚动实际总费=1269771.398605元
参数选择,2025-06-30当日参数,短窗集中,历史验证28天,滚动实际总费=1244488.427263元
参数选择,2025-07-01当日参数,短窗集中,历史验证28天,滚动实际总费=1239656.338069元
参数选择,2025-07-02当日参数,短窗集中,历史验证28天,滚动实际总费=1255611.122190元
参数选择,2025-07-03当日参数,短窗集中,历史验证28天,滚动实际总费=1263896.093898元
参数选择,2025-07-04当日参数,短窗集中,历史验证28天,滚动实际总费=1271643.874762元
参数选择,2025-07-05当日参数,短窗集中,历史验证28天,滚动实际总费=1271052.695889元
参数选择,2025-07-06当日参数,短窗集中,历史验证28天,滚动实际总费=1276458.001057元
参数选择,2025-07-07当日参数,短窗集中,历史验证28天,滚动实际总费=1287809.224013元
参数选择,2025-07-08当日参数,短窗集中,历史验证28天,滚动实际总费=1292479.108634元
参数选择,2025-07-09当日参数,短窗集中,历史验证28天,滚动实际总费=1299456.171134元
参数选择,2025-07-10当日参数,短窗集中,历史验证28天,滚动实际总费=1290542.194851元
参数选择,2025-07-11当日参数,短窗集中,历史验证28天,滚动实际总费=1289225.005412元
参数选择,2025-07-12当日参数,短窗集中,历史验证28天,滚动实际总费=1294464.825601元
参数选择,2025-07-13当日参数,短窗集中,历史验证28天,滚动实际总费=1298748.442219元
参数选择,2025-07-14当日参数,短窗集中,历史验证28天,滚动实际总费=1296767.584359元
参数选择,2025-07-15当日参数,短窗集中,历史验证28天,滚动实际总费=1294280.607140元
参数选择,2025-07-16当日参数,短窗集中,历史验证28天,滚动实际总费=1293894.851627元
参数选择,2025-07-17当日参数,短窗集中,历史验证28天,滚动实际总费=1293700.107811元
参数选择,2025-07-18当日参数,短窗集中,历史验证28天,滚动实际总费=1294017.870821元
参数选择,2025-07-19当日参数,短窗集中,历史验证28天,滚动实际总费=1299131.435763元
参数选择,2025-07-20当日参数,短窗集中,历史验证28天,滚动实际总费=1304571.980647元
参数选择,2025-07-21当日参数,短窗集中,历史验证28天,滚动实际总费=1304585.171756元
参数选择,2025-07-22当日参数,短窗集中,历史验证28天,滚动实际总费=1307108.589004元
参数选择,2025-07-23当日参数,短窗集中,历史验证28天,滚动实际总费=1292539.144469元
参数选择,2025-07-24当日参数,短窗集中,历史验证28天,滚动实际总费=1291338.066310元
参数选择,2025-07-25当日参数,短窗集中,历史验证28天,滚动实际总费=1290600.094848元
参数选择,2025-07-26当日参数,短窗集中,历史验证28天,滚动实际总费=1296031.435710元
参数选择,2025-07-27当日参数,短窗集中,历史验证28天,滚动实际总费=1302097.851190元
参数选择,2025-07-28当日参数,短窗集中,历史验证28天,滚动实际总费=1309990.270745元
参数选择,2025-07-29当日参数,短窗集中,历史验证28天,滚动实际总费=1317208.779158元
参数选择,2025-07-30当日参数,短窗集中,历史验证28天,滚动实际总费=1302670.444280元
参数选择,2025-07-31当日参数,短窗集中,历史验证28天,滚动实际总费=1299069.524765元
参数选择,2025-08-01当日参数,短窗集中,历史验证28天,滚动实际总费=1295380.013301元
参数选择,2025-08-02当日参数,短窗集中,历史验证28天,滚动实际总费=1275653.421991元
参数选择,2025-08-03当日参数,短窗集中,历史验证28天,滚动实际总费=1270223.334884元
参数选择,2025-08-04当日参数,短窗集中,历史验证28天,滚动实际总费=1263872.279386元
参数选择,2025-08-05当日参数,短窗集中,历史验证28天,滚动实际总费=1260633.997204元
参数选择,2025-08-06当日参数,短窗集中,历史验证28天,滚动实际总费=1255239.905742元
参数选择,2025-08-07当日参数,短窗集中,历史验证28天,滚动实际总费=1250796.968447元
参数选择,2025-08-08当日参数,短窗集中,历史验证28天,滚动实际总费=1247673.766058元
参数选择,2025-08-09当日参数,短窗集中,历史验证28天,滚动实际总费=1244598.225960元
参数选择,2025-08-10当日参数,短窗集中,历史验证28天,滚动实际总费=1242615.426953元
参数选择,2025-08-11当日参数,短窗集中,历史验证28天,滚动实际总费=1240834.817880元
参数选择,2025-08-12当日参数,短窗集中,历史验证28天,滚动实际总费=1236155.299196元
参数选择,2025-08-13当日参数,短窗集中,历史验证28天,滚动实际总费=1234060.100686元
参数选择,2025-08-14当日参数,短窗集中,历史验证28天,滚动实际总费=1229737.041212元
参数选择,2025-08-15当日参数,短窗集中,历史验证28天,滚动实际总费=1228818.219495元
参数选择,2025-08-16当日参数,短窗集中,历史验证28天,滚动实际总费=1227832.520295元
参数选择,2025-08-17当日参数,短窗集中,历史验证28天,滚动实际总费=1227038.901286元
参数选择,2025-08-18当日参数,短窗集中,历史验证28天,滚动实际总费=1222643.798093元
参数选择,2025-08-19当日参数,短窗集中,历史验证28天,滚动实际总费=1218504.400659元
参数选择,2025-08-20当日参数,短窗集中,历史验证28天,滚动实际总费=1212771.160452元
参数选择,2025-08-21当日参数,短窗集中,历史验证28天,滚动实际总费=1219822.810618元
参数选择,2025-08-22当日参数,短窗集中,历史验证28天,滚动实际总费=1215778.519783元
参数选择,2025-08-23当日参数,短窗集中,历史验证28天,滚动实际总费=1218732.594034元
参数选择,2025-08-24当日参数,短窗集中,历史验证28天,滚动实际总费=1216906.822039元
参数选择,2025-08-25当日参数,短窗集中,历史验证28天,滚动实际总费=1212283.444799元
参数选择,2025-08-26当日参数,短窗集中,历史验证28天,滚动实际总费=1209268.249481元
参数选择,2025-08-27当日参数,短窗集中,历史验证28天,滚动实际总费=1205583.366021元
参数选择,2025-08-28当日参数,短窗集中,历史验证28天,滚动实际总费=1203413.587139元
参数选择,2025-08-29当日参数,短窗集中,历史验证28天,滚动实际总费=1203837.067242元
参数选择,2025-08-30当日参数,短窗集中,历史验证28天,滚动实际总费=1206840.285584元
参数选择,2025-08-31当日参数,短窗集中,历史验证28天,滚动实际总费=1207568.580077元
参数选择,2025-09-01当日参数,短窗集中,历史验证28天,滚动实际总费=1202988.782459元
参数选择,2025-09-02当日参数,短窗集中,历史验证28天,滚动实际总费=1198425.707577元
参数选择,2025-09-03当日参数,短窗集中,历史验证28天,滚动实际总费=1198325.889593元
参数选择,2025-09-04当日参数,短窗集中,历史验证28天,滚动实际总费=1192070.898236元
参数选择,2025-09-05当日参数,短窗集中,历史验证28天,滚动实际总费=1183621.767144元
参数选择,2025-09-06当日参数,短窗集中,历史验证28天,滚动实际总费=1182799.989980元
参数选择,2025-09-07当日参数,短窗集中,历史验证28天,滚动实际总费=1184087.931922元
参数选择,2025-09-08当日参数,短窗集中,历史验证28天,滚动实际总费=1173220.692511元
参数选择,2025-09-09当日参数,短窗集中,历史验证28天,滚动实际总费=1170025.745832元
参数选择,2025-09-10当日参数,短窗集中,历史验证28天,滚动实际总费=1160727.483755元
参数选择,2025-09-11当日参数,短窗集中,历史验证28天,滚动实际总费=1162421.959495元
参数选择,2025-09-12当日参数,短窗集中,历史验证28天,滚动实际总费=1153614.581470元
参数选择,2025-09-13当日参数,短窗集中,历史验证28天,滚动实际总费=1152572.044368元
参数选择,2025-09-14当日参数,短窗集中,历史验证28天,滚动实际总费=1147092.605205元
参数选择,2025-09-15当日参数,短窗集中,历史验证28天,滚动实际总费=1142902.759329元
参数选择,2025-09-16当日参数,短窗集中,历史验证28天,滚动实际总费=1138409.926367元
参数选择,2025-09-17当日参数,短窗集中,历史验证28天,滚动实际总费=1133521.955228元
参数选择,2025-09-18当日参数,短窗集中,历史验证28天,滚动实际总费=1117657.967689元
参数选择,2025-09-19当日参数,短窗集中,历史验证28天,滚动实际总费=1110353.604087元
参数选择,2025-09-20当日参数,短窗集中,历史验证28天,滚动实际总费=1102821.015670元
参数选择,2025-09-21当日参数,短窗集中,历史验证28天,滚动实际总费=1099631.826871元
参数选择,2025-09-22当日参数,短窗集中,历史验证28天,滚动实际总费=1089185.299444元
参数选择,2025-09-23当日参数,短窗集中,历史验证28天,滚动实际总费=1079296.608097元
参数选择,2025-09-24当日参数,短窗集中,历史验证28天,滚动实际总费=1074275.912418元
参数选择,2025-09-25当日参数,短窗集中,历史验证28天,滚动实际总费=1069451.042112元
参数选择,2025-09-26当日参数,短窗集中,历史验证28天,滚动实际总费=1058341.296666元
参数选择,2025-09-27当日参数,短窗集中,历史验证28天,滚动实际总费=1048400.951670元
参数选择,2025-09-28当日参数,短窗集中,历史验证28天,滚动实际总费=1046132.836900元
参数选择,2025-09-29当日参数,短窗集中,历史验证28天,滚动实际总费=1043200.660901元
参数选择,2025-09-30当日参数,短窗集中,历史验证28天,滚动实际总费=1039946.988136元
参数选择,2025-10-01当日参数,短窗集中,历史验证28天,滚动实际总费=1038139.441970元
参数选择,2025-10-02当日参数,短窗集中,历史验证28天,滚动实际总费=1037175.511626元
参数选择,2025-10-03当日参数,短窗集中,历史验证28天,滚动实际总费=1043295.223425元
参数选择,2025-10-04当日参数,短窗集中,历史验证28天,滚动实际总费=1038416.549867元
参数选择,2025-10-05当日参数,短窗集中,历史验证28天,滚动实际总费=1034699.796664元
参数选择,2025-10-06当日参数,短窗集中,历史验证28天,滚动实际总费=1040098.708031元
参数选择,2025-10-07当日参数,短窗集中,历史验证28天,滚动实际总费=1039348.153160元
参数选择,2025-10-08当日参数,短窗集中,历史验证28天,滚动实际总费=1041061.960613元
参数选择,2025-10-09当日参数,短窗集中,历史验证28天,滚动实际总费=1031347.735953元
参数选择,2025-10-10当日参数,短窗集中,历史验证28天,滚动实际总费=1028416.221910元
参数选择,2025-10-11当日参数,短窗集中,历史验证28天,滚动实际总费=1023338.914621元
参数选择,2025-10-12当日参数,短窗集中,历史验证28天,滚动实际总费=1022318.718995元
参数选择,2025-10-13当日参数,短窗集中,历史验证28天,滚动实际总费=1020948.415289元
参数选择,2025-10-14当日参数,短窗集中,历史验证28天,滚动实际总费=1018540.530910元
参数选择,2025-10-15当日参数,短窗集中,历史验证28天,滚动实际总费=1023461.517126元
参数选择,2025-10-16当日参数,短窗集中,历史验证28天,滚动实际总费=1023132.769267元
参数选择,2025-10-17当日参数,短窗集中,历史验证28天,滚动实际总费=1026075.698611元
参数选择,2025-10-18当日参数,短窗集中,历史验证28天,滚动实际总费=1024004.546220元
