类别,校验项,数值,单位,结论
价格参数选择,2025-05-06价格候选,水平0.6-0.3-0.1×形态21天,历史验证28天,加权MAE=0.045162
价格参数选择,2025-05-07价格候选,水平0.6-0.3-0.1×形态21天,历史验证28天,加权MAE=0.044489
价格参数选择,2025-05-08价格候选,水平0.6-0.3-0.1×形态21天,历史验证28天,加权MAE=0.043658
价格参数选择,2025-05-09价格候选,水平0.6-0.3-0.1×形态21天,历史验证28天,加权MAE=0.043388
价格参数选择,2025-05-10价格候选,水平0.6-0.3-0.1×形态21天,历史验证28天,加权MAE=0.044261
价格参数选择,2025-05-11价格候选,水平0.6-0.3-0.1×形态21天,历史验证28天,加权MAE=0.045184
价格参数选择,2025-05-12价格候选,水平0.6-0.3-0.1×形态21天,历史验证28天,加权MAE=0.044625
价格参数选择,2025-05-13价格候选,水平0.5-0.3-0.2×形态21天,历史验证28天,加权MAE=0.044682
价格参数选择,2025-05-14价格候选,水平0.5-0.3-0.2×形态21天,历史验证28天,加权MAE=0.044207
价格参数选择,2025-05-15价格候选,水平0.5-0.3-0.2×形态21天,历史验证28天,加权MAE=0.043299
价格参数选择,2025-05-16价格候选,水平0.5-0.3-0.2×形态21天,历史验证28天,加权MAE=0.042936
价格参数选择,2025-05-17价格候选,水平0.5-0.3-0.2×形态21天,历史验证28天,加权MAE=0.045063
价格参数选择,2025-05-18价格候选,水平0.5-0.3-0.2×形态21天,历史验证28天,加权MAE=0.045718
价格参数选择,2025-05-19价格候选,水平0.25-0.25-0.25-0.25×形态21天,历史验证28天,加权MAE=0.045321
价格参数选择,2025-05-20价格候选,水平0.25-0.25-0.25-0.25×形态21天,历史验证28天,加权MAE=0.044752
价格参数选择,2025-05-21价格候选,水平0.25-0.25-0.25-0.25×形态21天,历史验证28天,加权MAE=0.044663
价格参数选择,2025-05-22价格候选,水平0.25-0.25-0.25-0.25×形态28天,历史验证28天,加权MAE=0.044101
价格参数选择,2025-05-23价格候选,水平0.25-0.25-0.25-0.25×形态28天,历史验证28天,加权MAE=0.043198
价格参数选择,2025-05-24价格候选,水平0.25-0.25-0.25-0.25×形态21天,历史验证28天,加权MAE=0.044447
价格参数选择,2025-05-25价格候选,水平0.25-0.25-0.25-0.25×形态21天,历史验证28天,加权MAE=0.045651
价格参数选择,2025-05-26价格候选,水平0.25-0.25-0.25-0.25×形态21天,历史验证28天,加权MAE=0.045028
价格参数选择,2025-05-27价格候选,水平0.25-0.25-0.25-0.25×形态21天,历史验证28天,加权MAE=0.045116
价格参数选择,2025-05-28价格候选,水平0.25-0.25-0.25-0.25×形态28天,历史验证28天,加权MAE=0.044103
价格参数选择,2025-05-29价格候选,水平0.25-0.25-0.25-0.25×形态28天,历史验证28天,加权MAE=0.043774
价格参数选择,2025-05-30价格候选,水平0.25-0.25-0.25-0.25×形态28天,历史验证28天,加权MAE=0.043159
价格参数选择,2025-05-31价格候选,水平0.25-0.25-0.25-0.25×形态28天,历史验证28天,加权MAE=0.044009
